"","row1","row2","var","a","b","c","d","OR","OR_lower","OR_upper","p_midp","p_fisher","p_chi2"
"1",1,2,3,11,34,6,37,1.96051898155419,0.660276704541144,6.36751819818489,0.228440969055257,0.282621597327686,0.21273784004861
"2",1,3,3,11,34,7,38,1.73382920349142,0.604301053515507,5.28447577127745,0.308319582033741,0.429869173928076,0.291840545143788
"3",1,4,3,11,34,26,23,0.29197282755747,0.116327551633805,0.695566572306532,0.00509209276046596,0.00601540855273874,0.00455476594823248
"4",2,3,3,6,37,7,38,0.884327395289685,0.255615420354006,2.97030164531752,0.841263754962507,1,0.832326110844337
"5",2,4,3,6,37,26,23,0.149003407202703,0.0484230543057337,0.398928910878193,8.1279301500814e-05,8.22757215273528e-05,8.51196337522907e-05
"6",3,4,3,7,38,26,23,0.168451038149984,0.0584616140867924,0.434461669610807,0.000144365104232325,0.000193338940714778,0.000141360133050915
"7",1,2,4,17,28,22,21,0.584381345783051,0.245359281122477,1.36840645874962,0.216621637764034,0.283273009601101,0.20641474422384
"8",1,3,4,17,28,18,27,0.912010456009333,0.385731012063326,2.14889648658462,0.832864716254731,1,0.828812374246451
"9",1,4,4,17,28,11,38,2.0723141209596,0.842864776100103,5.27519222607918,0.112945339976639,0.119247717578647,0.104504080362966
"10",2,3,4,22,21,18,27,1.56076952719711,0.668513078824348,3.69404725830067,0.304108564494705,0.391931548562371,0.293146030324322
"11",2,4,4,22,21,11,38,3.54490776038781,1.45996234241848,9.0481609129852,0.00487544087843816,0.00502422983163142,0.00416927427231795
"12",3,4,4,18,27,11,38,2.27219923336765,0.929962108722931,5.76687551600108,0.0719848035640194,0.0770968652441372,0.0657078592408898
"13",1,2,5,42,3,37,6,2.19962539907605,0.522264673572802,11.6958994242966,0.28789872132207,0.309149376410306,0.259455870755797
"14",1,3,5,42,3,37,8,2.90860224172169,0.75816674785693,14.8339558730587,0.123080363022846,0.196598505149435,0.107595825163299
"15",1,4,5,42,3,43,6,1.8966866197759,0.452599885882042,10.0413812157537,0.388473507969577,0.489527882223886,0.35851778158634
"16",2,3,5,37,6,37,8,1.32181092431958,0.41081677856618,4.47578231579295,0.640027160447234,0.772648732914042,0.623928975416014
"17",2,4,5,37,6,43,6,0.861935130506814,0.243107188822285,3.05437882663392,0.814375673947242,1,0.808169063637453
"18",3,4,5,37,8,43,6,0.652010370085601,0.193658960904216,2.08378986097023,0.470222262700159,0.565554538991262,0.451642155082638
"19",1,2,6,40,5,38,5,1.05199477885083,0.263307346815,4.20408250615717,0.941356365285347,1,0.939134422274161
"20",1,3,6,40,5,38,7,1.45623341192515,0.418122216636162,5.45854382252133,0.555363120371847,0.757785357401006,0.535143452397751
"21",1,4,6,40,5,44,5,0.910069453367971,0.228849181755712,3.61822073541372,0.890760212778435,1,0.886701892647951
"22",2,3,6,38,5,38,7,1.38417207898441,0.396539860282769,5.19700641125649,0.610840173456469,0.758214308952244,0.591487295925624
"23",2,4,6,38,5,44,5,0.865062938046297,0.217127368921972,3.44560865738568,0.8330021734311,1,0.826716083258587
"24",3,4,6,38,7,44,5,0.624833638201264,0.167231717477892,2.16819337311143,0.458772974704639,0.541718866024673,0.437345514514155
"25",1,2,7,25,20,29,14,0.608427992082464,0.249922254101107,1.45075520414572,0.263463081628451,0.280368528525187,0.252332723856211
"26",1,3,7,25,20,40,5,0.162669398968982,0.0479514614395926,0.463804816681272,0.000441098538441875,0.000774576589827469,0.000415417648381593
"27",1,4,7,25,20,34,15,0.556268058311761,0.233971567730752,1.29735309364338,0.175229708155802,0.202419238677051,0.16580906983706
"28",2,3,7,29,14,40,5,0.267343560969595,0.077122416154349,0.794485244686126,0.0167590710589707,0.0195453055513456,0.0145149162161455
"29",2,4,7,29,14,34,15,0.914508203071051,0.374356223241566,2.23954289845667,0.84395906007573,1,0.841139425679491
"30",3,4,7,40,5,34,15,3.423717805149,1.17569180304894,11.6981627062356,0.0231786496822002,0.0247602667437055,0.0210105412544798
"31",1,2,8,11,34,9,34,1.21645546553318,0.441506373034141,3.42631150404409,0.704555765733894,0.801027352433031,0.694153848998784
"32",1,3,8,11,34,23,22,0.31547478682848,0.123947610265823,0.764696144558537,0.0102727376691489,0.0161766504288556,0.00908152937477617
"33",1,4,8,11,34,17,32,0.614494694911711,0.242365699063578,1.50854885824698,0.289708049337358,0.367258679294317,0.277714361899503
"34",2,3,8,9,34,23,22,0.259448689914155,0.0964101811269101,0.651202974006801,0.00368512164333001,0.00407761332259346,0.00326085464162355
"35",2,4,8,9,34,17,32,0.505142866651259,0.188271352859807,1.28364196284122,0.152927230867043,0.168872623545472,0.143507316298605
"36",3,4,8,23,22,17,32,1.94893880334139,0.850580154448974,4.55486467385818,0.115111310597249,0.144200863210662,0.107790355908528
"37",1,2,9,30,15,29,14,0.966320407072059,0.390963610236368,2.37928685689716,0.940435216963844,1,0.938358320940077
"38",1,3,9,30,15,44,1,0.052615103596164,0.00209638559779305,0.283213138141144,7.83179046313087e-05,0.000150611355060144,0.000113444221231922
"39",1,4,9,30,15,44,5,0.234967078279035,0.0685700468882185,0.685719283913853,0.00722765580386742,0.0105131997771912,0.00619736117539571
"40",2,3,9,29,14,44,1,0.0544892015755203,0.00216214510377145,0.29635493673248,0.000120705564742751,0.000126798478651986,0.000154973546613874
"41",2,4,9,29,14,44,5,0.243229888071285,0.070393840196291,0.719468393280966,0.00981420708681136,0.0102594968704855,0.00822531096396899
"42",3,4,9,44,1,44,5,4.45802637872537,0.650024976068962,121.439594825073,0.139738478266931,0.20609357827189,0.113775290196273
"43",1,2,10,28,17,31,12,0.642643881892849,0.254883920908675,1.58153656287,0.337172249492108,0.36979618915728,0.324765575042193
"44",1,3,10,28,17,37,8,0.363193033593434,0.129682869620958,0.946845233285835,0.0380783012256847,0.0585520387342244,0.0341704726922295
"45",1,4,10,28,17,45,4,0.153259412857222,0.0395814743246021,0.468512233997795,0.000636386155250079,0.000949943010680747,0.000574208872014887
"46",2,3,10,31,12,37,8,0.565228844097109,0.195385045809547,1.55972295562522,0.272120728057875,0.313349294670851,0.257041647203245
"47",2,4,10,31,12,45,4,0.238582903051878,0.0600065224696989,0.767464917574731,0.0152155158255805,0.0251991091908816,0.0126738670538038
"48",3,4,10,37,8,45,4,0.422044116636421,0.101817980416065,1.48446593177127,0.181930282247424,0.219806013248439,0.162896003783024
"49",1,2,11,39,6,34,9,1.69764073564556,0.545315762613021,5.65523427597924,0.36265231241894,0.403458950101035,0.343459719113798
"50",1,3,11,39,6,41,4,0.644507578535941,0.148374698117606,2.50329833908981,0.526929561123451,0.739068771381993,0.502334954360502
"51",1,4,11,39,6,34,15,2.8002115139924,1.00449812824063,8.76453078659391,0.0489773925675101,0.0512480290475248,0.0445206563267359
"52",2,3,11,34,9,41,4,0.379660383274667,0.0924877602539344,1.30231458971637,0.125998359714395,0.139505783337388,0.111540097238336
"53",2,4,11,34,9,34,15,1.64880060979537,0.637823129272693,4.46537942588914,0.304766472117407,0.346073423966969,0.291337248737655
"54",3,4,11,41,4,34,15,4.34639676558907,1.405111453217,16.9058356007529,0.00953968923254944,0.0104245957426981,0.00879508929417978
